TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.jsoup.examples.Wikipedia,BRANCH,0.75,4,3
org.jsoup.examples.ListLinks,BRANCH,0.2857142857142857,14,4
org.jsoup.examples.HtmlToPlainText,BRANCH,0.9069767441860465,43,39
org.jsoup.select.NodeTraversor,BRANCH,0.711864406779661,59,42
org.jsoup.select.CombiningEvaluator,BRANCH,0.9565217391304348,23,22
org.jsoup.select.Collector,BRANCH,1.0,15,15
org.jsoup.select.Selector,BRANCH,1.0,18,18
org.jsoup.select.StructuralEvaluator,BRANCH,1.0,50,50
org.jsoup.select.Evaluator,BRANCH,0.927536231884058,207,192
org.jsoup.select.Elements,BRANCH,0.9689922480620154,129,125
org.jsoup.select.QueryParser,BRANCH,0.7530864197530864,162,122
org.jsoup.nodes.NodeUtils,BRANCH,1.0,8,8
org.jsoup.examples.Wikipedia,BRANCH,0.75,4,3
org.jsoup.examples.ListLinks,BRANCH,0.2857142857142857,14,4
org.jsoup.examples.HtmlToPlainText,BRANCH,0.9069767441860465,43,39
org.jsoup.select.NodeTraversor,BRANCH,0.711864406779661,59,42
org.jsoup.select.CombiningEvaluator,BRANCH,0.9565217391304348,23,22
org.jsoup.select.Collector,BRANCH,1.0,15,15
org.jsoup.select.Selector,BRANCH,1.0,18,18
org.jsoup.select.StructuralEvaluator,BRANCH,1.0,50,50
org.jsoup.select.Evaluator,BRANCH,0.9420289855072463,207,195
org.jsoup.select.QueryParser,BRANCH,0.7716049382716049,162,125
org.jsoup.nodes.NodeUtils,BRANCH,1.0,8,8
org.jsoup.nodes.TextNode,BRANCH,0.9347826086956522,46,43
org.jsoup.nodes.DocumentType,BRANCH,1.0,28,28
org.jsoup.nodes.EntitiesData,BRANCH,1.0,1,1
org.jsoup.nodes.FormElement,BRANCH,0.4594594594594595,37,17
org.jsoup.nodes.DataNode,BRANCH,1.0,9,9
org.jsoup.nodes.Node,BRANCH,0.9019607843137255,153,138
org.jsoup.nodes.Attributes,BRANCH,0.8936170212765957,141,126
org.jsoup.nodes.PseudoTextElement,BRANCH,1.0,3,3
org.jsoup.nodes.Comment,BRANCH,0.9642857142857143,28,27
org.jsoup.nodes.Document,BRANCH,0.9381443298969072,97,91
org.jsoup.nodes.Entities,BRANCH,0.7448979591836735,98,73
org.jsoup.nodes.Attribute,BRANCH,0.9452054794520548,73,69
org.jsoup.nodes.LeafNode,BRANCH,1.0,28,28
org.jsoup.nodes.Element,BRANCH,0.8817204301075269,372,328
org.jsoup.nodes.CDataNode,BRANCH,1.0,6,6
org.jsoup.nodes.XmlDeclaration,BRANCH,1.0,17,17
org.jsoup.safety.Safelist,BRANCH,0.7435897435897436,156,116
org.jsoup.safety.Whitelist,BRANCH,1.0,19,19
org.jsoup.safety.Cleaner,BRANCH,0.7428571428571429,35,26
org.jsoup.parser.HtmlTreeBuilder,BRANCH,0.5646437994722955,379,214
org.jsoup.parser.Tag,BRANCH,0.8923076923076924,65,57
org.jsoup.parser.ParseErrorList,BRANCH,1.0,7,7
org.jsoup.parser.Token,BRANCH,0.990909090909091,110,109
org.jsoup.parser.XmlTreeBuilder,BRANCH,0.92,50,46
org.jsoup.parser.CharacterReader,BRANCH,0.9255663430420712,309,286
org.jsoup.parser.ParseError,BRANCH,1.0,8,8
org.jsoup.parser.TokenQueue,BRANCH,0.9790209790209791,143,135
org.jsoup.parser.HtmlTreeBuilderState,BRANCH,8.064516129032258E-4,1240,1
org.jsoup.parser.Parser,BRANCH,1.0,26,26
org.jsoup.parser.TreeBuilder,BRANCH,0.8260869565217391,23,19
org.jsoup.parser.TokeniserState,BRANCH,0.0,835,0
org.jsoup.parser.ParseSettings,BRANCH,1.0,13,13
org.jsoup.HttpStatusException,BRANCH,1.0,3,3
org.jsoup.Jsoup,BRANCH,0.8181818181818182,22,18
org.jsoup.internal.Normalizer,BRANCH,1.0,6,6
org.jsoup.internal.StringUtil,BRANCH,0.9696969696969697,99,94
org.jsoup.internal.ConstrainableInputStream,BRANCH,0.925,40,37
org.jsoup.UnsupportedMimeTypeException,BRANCH,1.0,4,4
org.jsoup.SerializationException,BRANCH,1.0,4,4
org.jsoup.UncheckedIOException,BRANCH,1.0,3,3
org.jsoup.helper.CookieUtil,BRANCH,0.5714285714285714,21,12
org.jsoup.helper.ChangeNotifyingArrayList,BRANCH,0.0,12,0
org.jsoup.helper.W3CDom,BRANCH,0.782608695652174,69,54
org.jsoup.helper.DataUtil,BRANCH,0.46218487394957986,119,55
org.jsoup.helper.Validate,BRANCH,1.0,27,27
org.jsoup.helper.HttpConnection,BRANCH,0.6126126126126126,333,204
